w,k,Output,Index,Symbol
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ý,570,884,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿý
ýĀ,þ,543,885,ýĀþ
þĀþÿ,ÿ,799,886,þĀþÿÿ
ÿþ,ā,524,887,ÿþā
āÿÿ,ÿ,878,888,āÿÿÿ
ÿþĀÿÿ,ÿ,854,889,ÿþĀÿÿÿ
ÿþÿ,ü,551,890,ÿþÿü
ü,Ă,252,891,üĂ
Ă,þ,258,892,Ăþ
þý,ý,701,893,þýý
ý,ò,253,894,ýò
òì,â,806,895,òìâ
â,â,226,896,ââ
â,æ,226,897,âæ
æ,ñ,230,898,æñ
ñ,þ,241,899,ñþ
þ,Ć,254,900,þĆ
Ć,ĉ,262,901,Ćĉ
ĉ,ć,265,902,ĉć
ć,Č,263,903,ćČ
Č,Ċ,268,904,ČĊ
Ċ,Ĉ,266,905,ĊĈ
Ĉ,ą,264,906,Ĉą
ą,Ă,261,907,ąĂ
ĂāĀ,Ā,821,908,ĂāĀĀ
ĀĀĀ,ÿ,712,909,ĀĀĀÿ
ÿÿþĀ,þ,582,910,ÿÿþĀþ
þÿĀÿÿ,ÿ,740,911,þÿĀÿÿÿ
ÿþþ,ÿ,564,912,ÿþþÿ
ÿü,ÿ,879,913,ÿüÿ
ÿþ,ú,524,914,ÿþú
úö,õ,745,915,úöõ
õ,ú,245,916,õú
ú,ð,250,917,úð
ð,ô,240,918,ðô
ô,ó,244,919,ôó
óý,Ĉ,812,920,óýĈ
Ĉ,ď,264,921,Ĉď
ď,Ğ,271,922,ďĞ
Ğ,ĝ,286,923,Ğĝ
ĝ,Ě,285,924,ĝĚ
Ě,č,282,925,Ěč
č,Ą,269,926,čĄ
Ą,Ā,260,927,ĄĀ
ĀĀ,ā,546,928,ĀĀā
āĀĀ,ÿ,881,929,āĀĀÿ
ÿÿþÿ,ÿ,718,930,ÿÿþÿÿ
ÿÿĀÿ,ÿ,563,931,ÿÿĀÿÿ
ÿÿþ,ü,522,932,ÿÿþü
üĂ,Ā,891,933,üĂĀ
Āÿ,û,529,934,Āÿû
ûă,Ā,875,935,ûăĀ
Āÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,882,936,Āÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,852,937,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þÿÿÿÿÿÿ,þ,572,938,þÿÿÿÿÿÿþ
þÿþþ,Ă,697,939,þÿþþĂ
Ăþ,þ,892,940,Ăþþ
þý,ÿ,701,941,þýÿ
ÿ,ó,255,942,ÿó
ó,Ø,243,943,óØ
Ø,Ô,216,944,ØÔ
Ô,Ü,212,945,ÔÜ
Ü,ø,220,946,Üø
ø,ă,248,947,øă
ă,ú,259,948,ăú
ú,Ā,250,949,úĀ
Ā,Ą,256,950,ĀĄ
Ą,ø,260,951,Ąø
øă,þ,947,952,øăþ
þ,Ą,254,953,þĄ
Ą,ę,260,954,Ąę
ę,ģ,281,955,ęģ
ģ,ĥ,291,956,ģĥ
ĥ,Ě,293,957,ĥĚ
Ě,Ă,282,958,ĚĂ
Ăÿ,Ā,709,959,ĂÿĀ
Āþ,ă,526,960,Āþă
ăÿ,ü,876,961,ăÿü
ü,ă,252,962,üă
ăÿ,þ,876,963,ăÿþ
þÿþþ,ā,697,964,þÿþþā
āÿ,ü,620,965,āÿü
